Product Name,Description,Price,Currency,Reference_number,URL
"Collier Juste un Clou, diamants","Or jaune, diamants""}",11200.0,EUR,CRB7224904,https://www.cartier.com/fr-fr/collier-juste-un-clou-diamants_cod1647597304782081.html#dept=EU_Juste-Un-Clou
Collier Juste un Clou,"Or gris""}",9850.0,EUR,CRB7224864,https://www.cartier.com/fr-fr/collier-juste-un-clou_cod1647597302934223.html#dept=EU_Juste-Un-Clou
"Bracelet Juste un Clou, petit modèle","Or gris""}",4150.0,EUR,CRB6083917,https://www.cartier.com/fr-fr/bracelet-juste-un-clou-petit-modele_cod1647597352632589.html#dept=EU_Juste-Un-Clou
"Bracelet Juste un Clou, petit modèle","Or jaune""}",3900.0,EUR,CRB6062617,https://www.cartier.com/fr-fr/bracelet-juste-un-clou-petit-modele_cod25458910981768052.html#dept=EU_Juste-Un-Clou
Boucles d'oreilles Clash de Cartier,"Or rose""}",4200.0,EUR,CRB8301520,https://www.cartier.com/fr-fr/boucles-d-oreilles-clash-de-cartier_cod1647597357217872.html#dept=EU_Clash-de-Cartier
Bague Clash de Cartier Moyen Modèle,"Or rose""}",3750.0,EUR,CRB4229900,https://www.cartier.com/fr-fr/bague-clash-de-cartier-moyen-modele_cod25372685655710130.html#dept=EU_Clash-de-Cartier
Boucles d'oreilles Clash de Cartier,"Or gris""}",4500.0,EUR,CRB8301521,https://www.cartier.com/fr-fr/boucles-d-oreilles-clash-de-cartier_cod1647597357217875.html#dept=EU_Clash-de-Cartier
Bague Clash de Cartier Moyen Modèle Rhodiée,"Or gris rhodié""}",4000.0,EUR,CRB4233000,https://www.cartier.com/fr-fr/bague-clash-de-cartier-moyen-modele-rhodiee_cod25372685655710152.html#dept=EU_Clash-de-Cartier
Bague Clash de Cartier,"Or jaune""}",4600.0,EUR,CRB4238300,https://www.cartier.com/fr-fr/bague-clash-de-cartier_cod1647597300468112.html#dept=EU_Clash-de-Cartier
Bague Clash de Cartier,"Or rose""}",4600.0,EUR,CRB4237800,https://www.cartier.com/fr-fr/bague-clash-de-cartier_cod1647597284036239.html#dept=EU_Clash-de-Cartier
Bracelet Clash de Cartier,"Or rose, diamants""}",20400.0,EUR,CRN6728517,https://www.cartier.com/fr-fr/bracelet-clash-de-cartier_cod1647597357220291.html#dept=EU_Clash-de-Cartier
